S,B,L,LG
1,,,
2,197,383,363
3,630,384,363
4,707,385,364
5,203,386,365
6,241,387,366
7,740,388,367
8,794,389,368
9,617,390,369
10,749,391,370
11,644,392,371
12,442,393,372
13,288,394,373
14,478,395,374
15,471,396,375
16,426,397,376
17,525,398,377
18,438,399,378
19,427,400,379
20,437,401,380
21,290,402,381
22,174,403,382
23,424,404,383
24,421,405,384
25,395,406,385
26,465,407,386
27,74,408,387
28,220,409,388
29,413,410,389
30,400,411,390
31,414,412,391
32,162,413,392
33,171,414,393
34,130,415,394
35,546,416,395
36,548,417,396
37,596,1,1
38,227,2,2
38,"227, 244",3,2
38,184,4,2
39,247,5,3
40,60,6,4
41,248,7,5
42,602,8,6
43,291,9,7
44,167,10,8
45,246,11,9
46,187,12,10
47,133,13,11
48,338,14,12
49,410,15,13
50,161,16,14
51,113,17,15
52,955,18,16
53,318,19,17
54,292,20,18
55,381,21,19
56,367,22,20
57,67,23,21
58,127,24,22
59,308,25,23
60,330,26,24
61,354,27,25
62,436,28,26
